2021-09-24 15:21:17 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 15:21:17 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 15:21:17 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 15:21:44 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 15:21:44 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 15:21:44 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 15:21:44 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 15:21:44 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 15:21:44 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 15:21:44 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 15:21:44 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 15:21:44 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 15:30:41 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 15:30:41 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 15:30:41 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 15:30:41 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 15:30:41 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 15:30:41 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 15:30:41 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 15:30:41 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 15:30:41 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 15:31:39 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 15:31:39 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 15:31:39 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 15:31:39 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 15:31:39 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 15:31:39 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 15:31:39 DEBUG Config - Config.get(instrumenting, fixes) = true
